County,Incident_Type,county_incident_total
Fife,poisoning,2
Nottinghamshire,poisoning,2
Staffordshire,"persecution (other)",2
Kent,trapping,2
Gloucestershire,trapping,2
"Isle of Anglesey",poisoning,2
Tyrone,shooting,2
"Isle of Wight",trapping,2
"Somerset & Avon",trapping,2
Bridgend,poisoning,2
Cheshire,trapping,2
Dorset,poisoning,2
Ceredigion,shooting,2
"Edinburgh City","nest destruction",1
"West Yorkshire","nest destruction",1
Monmouthshire,trapping,1
"South Ayrshire",shooting,1
"Blaenau Gwent",shooting,1
Worcestershire,"nest destruction",1
"West Midlands",trapping,1
Antrim,"persecution (other)",1
Caerphilly,poisoning,1
Leicestershire,poisoning,1
"West Dunbartonshire",trapping,1
"Glasgow City","persecution (other)",1
"Dumfries and Galloway","nest destruction",1
Lancashire,poisoning,1
Torfaen,poisoning,1
"East Ayrshire","persecution (other)",1
Cleveland,trapping,1
"Swansea City",poisoning,1
Dorset,trapping,1
Powys,"persecution (other)",1
Gwynedd,"nest destruction",1
Torfaen,trapping,1
Londonderry,"persecution (other)",1
"Isle of Anglesey",shooting,1
"Tyne and Wear","persecution (other)",1
Down,trapping,1
Londonderry,"nest destruction",1
"Somerset & Avon","persecution (other)",1
Lincolnshire,"nest destruction",1
Oxfordshire,"nest destruction",1
"South Lanarkshire","nest destruction",1
Gwynedd,poisoning,1
Cambridgeshire,trapping,1
Hampshire,trapping,1
Cheshire,poisoning,1
"East Riding of Yorkshire","persecution (other)",1
Angus,"nest destruction",1
"Western Isles","nest destruction",1
Moray,shooting,1
"East Sussex",poisoning,1
"Neath Port Talbot",trapping,1
Inverclyde,trapping,1
Suffolk,"nest destruction",1
Antrim,trapping,1
"East Ayrshire",shooting,1
Suffolk,trapping,1
"Argyll and Bute","nest destruction",1
Denbighshire,shooting,1
"East Riding of Yorkshire",trapping,1
Cumbria,"nest destruction",1
"Perth and Kinross","nest destruction",1
"North Lanarkshire",shooting,1
Devon,trapping,1
"Rhondda, Cynon, Taff",poisoning,1
Pembrokeshire,shooting,1
"Blaenau Gwent",poisoning,1
Bedfordshire,trapping,1
Midlothian,"nest destruction",1
Carmarthenshire,shooting,1
Tyrone,"nest destruction",1
"Vale of Glamorgan",poisoning,1
Down,"persecution (other)",1
Hampshire,"persecution (other)",1
"Scottish Borders","nest destruction",1
Hampshire,"nest destruction",1
Armagh,"persecution (other)",1
Suffolk,"persecution (other)",1
Conwy,"nest destruction",1
Conwy,trapping,1
"Belfast County Borough",poisoning,1
"Somerset & Avon","nest destruction",1
Cleveland,poisoning,1
"Edinburgh City",shooting,1
Wrexham,trapping,1
"South Yorkshire","persecution (other)",1
Denbighshire,trapping,1
"Merthyr Tydfil",trapping,1
Flintshire,"persecution (other)",1
Shropshire,"persecution (other)",1
Conwy,shooting,1
"Edinburgh City",trapping,1
Oxfordshire,"persecution (other)",1
Kent,"persecution (other)",1
,poisoning,1
Fermanagh,"nest destruction",1
