OBJECTID,RSPB_Reference,County,Country,Incident_Type,Month,Year,Grid_Square,Details,More_info here,GlobalID
4863,95369,Norfolk,England,Shooting,October,2012,TF93,Species involved: Buzzard x1,No Link,64349752-08e0-4a50-af1e-785eb4729f7a
4864,95378,Oxfordshire,England,Nest Destruction,July,2012,SP30,Species targeted: Hobby nest,No Link,c53db29b-7f3e-44fb-98ec-9b07dff26f87
4865,95380,Cumbria,England,Trapping,October,2012,NY12,"Species involved: Sparrowhawk x1, Buzzard x1",No Link,eb602275-dffb-4182-b2c5-8ebad67dfa21
4866,95385,Highland,Scotland,Poisoning,March,2012,NM78,"Species involved: Golden Eagle x1. Tested positive for: Aldicarb, Bendiocarb",http://ww2.rspb.org.uk/our-work/rspb-news/news/317459-appeal-for-information-after-poisoned-golden-eagle-found-near-morar,dae0d000-b8ad-47de-8db1-a7a6dddfe321
4867,95393,Derbyshire,England,Nest Destruction,May,2012,SK18,Species involved: Goshawk x4 nest,No Link,775dcc2c-0233-4e45-9ff6-8b921d21bcb2
4868,95414,Dumfries and Galloway,Scotland,Shooting,October,2012,NS81,Species involved: Golden Eagle x1,https://www.bbc.co.uk/news/uk-scotland-south-scotland-19886345,96baaf31-3da9-438b-a096-bfc3a419b869
4869,95425,Lancashire,England,Shooting,November,2012,SD41,Species involved: Buzzard x1,http://www.itv.com/news/granada/update/2012-11-12/police-appeal-after-buzzard-is-shot/,66490d50-166c-4dff-8ba9-146f42c79d3e
4870,95445,Angus,Scotland,Trapping,February,2012,NO48,Species involved: Buzzard x1,No Link,a9539f79-ecb7-4784-a064-ee799292b751
4871,95450,Angus,Scotland,Trapping,April,2012,NO58,Species involved: Golden Eagle x1,https://www.walkhighlands.co.uk/news/rspb-offers-1k-reward-after-dead-eagle-found/007682/,40ae54b1-76fb-4d95-82fc-21e7e4851bde
4872,95459,Aberdeenshire,Scotland,Trapping,September,2012,NJ41,Species targeted: Birds of Prey. Species involved: Jay x1,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-30777299,6e8fe94b-8c56-4619-a8cf-d45d2e767bac
4873,95460,Aberdeenshire,Scotland,Trapping,August,2012,NJ41,Species involved: Goshawk x1,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-30777299,d8cf7745-248b-486a-94a3-d190cfe37cb3
4874,95462,Aberdeenshire,Scotland,Trapping,August,2012,NJ41,Species involved: Buzzard x1,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-30777299,066735b1-fac9-4ceb-bf7a-7208934e3817
4875,95463,Aberdeenshire,Scotland,Trapping,August,2012,NJ41,Species involved: Goshawk x1,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-30777299,09ad18cb-c68a-443c-b913-27ff27c527e5
4876,95464,Hampshire,England,Poisoning,September,2012,SU42,Species involved: Buzzard x2. Tested positive for: Alphachloralose,No Link,dcf75a81-20ba-4e05-b8c3-607c81d57c27
